0x804d8554 ntosk__GUID_POWER_DEVICE_TIMEOUTS
0x804d8564 ntosk__GUID_POWER_DEVICE_WAKE_ENABLE
0x804d8574 ntosk__GUID_DEVICE_ARRIVAL
0x804d8584 ntosk__GUID_DEVICE_ENUMERATED
0x804d8594 ntosk__GUID_DEVICE_ENUMERATE_REQUEST
0x804d85a4 ntosk__GUID_DEVICE_START_REQUEST
0x804d85b4 ntosk__GUID_DEVICE_REMOVE_PENDING
0x804d85c4 ntosk__GUID_DEVICE_QUERY_AND_REMOVE
0x804d85d4 ntosk__GUID_DEVICE_EJECT
0x804d85e4 ntosk__GUID_DEVICE_NOOP
0x804d85f4 ntosk__GUID_DEVICE_SURPRISE_REMOVAL
0x804d8604 ntosk__GUID_DEVICE_SAFE_REMOVAL
0x804d8614 ntosk__GUID_DEVICE_EJECT_VETOED
0x804d8624 ntosk__GUID_DEVICE_REMOVAL_VETOED
0x804d8634 ntosk__GUID_DEVICE_WARM_EJECT_VETOED
0x804d8644 ntosk__GUID_DEVICE_STANDBY_VETOED
0x804d8654 ntosk__GUID_DEVICE_HIBERNATE_VETOED
0x804d8664 ntosk__GUID_DEVICE_KERNEL_INITIATED_EJECT
0x804d8674 ntosk__GUID_DRIVER_BLOCKED
0x804d8684 ntosk__GUID_SETUP_DEVICE_ARRIVAL
0x804d8694 ntosk__GUID_DEVINTERFACE_DISK
0x804d86a4 ntosk__GUID_DEVINTERFACE_CDROM
0x804d86b4 ntosk__GUID_DEVINTERFACE_PARTITION
0x804d86c4 ntosk__GUID_DEVINTERFACE_TAPE
0x804d86d4 ntosk__GUID_DEVINTERFACE_WRITEONCEDISK
0x804d86e4 ntosk__GUID_DEVINTERFACE_VOLUME
0x804d86f4 ntosk__GUID_DEVINTERFACE_MEDIUMCHANGER
0x804d8704 ntosk__GUID_DEVINTERFACE_FLOPPY
0x804d8714 ntosk__GUID_DEVINTERFACE_CDCHANGER
0x804d8724 ntosk__GUID_DEVINTERFACE_STORAGEPORT
0x804d8734 ntosk__GUID_DOCK_INTERFACE
0x804d8c7c ntosk__RamdiskBootDiskGuid
0x804d8d80 ntosk__KiFindFirstSetRight
0x804d8e80 ntosk__KiFindFirstSetLeft
0x804d8fac ntosk__KiDebugRegisterTrapOffsets
0x804d8fcc ntosk__KiDebugRegisterContextOffsets
0x804d9008 ntosk___real@4147ffff80000000
0x804d9010 ntosk___real@4150017ec0000000
0x804d9228 ntosk__MMSECT
0x804d9230 ntosk__MmSevenMinutes
0x804d9238 ntosk__MmOneSecond
0x804d9240 ntosk__MmTwentySeconds
0x804d9248 ntosk__MmShortTime
0x804d9250 ntosk__MmHalfSecond
0x804d9258 ntosk__Mm30Milliseconds
0x804d929c ntosk__MMVADKEY
0x804d92d0 ntosk__MMCONTROL
0x804d92d4 ntosk__MMTEMPORARY
0x804d93d8 ntosk__MMDB
0x804d9440 ntosk__MmClaimParameterAdjustUpTime
0x804d9448 ntosk__MmClaimParameterAdjustDownTime
0x804d9508 ntosk__ZeroPte
0x804d9510 ntosk__ZeroKernelPte
0x804d9518 ntosk__ValidKernelPteLocal
0x804d9520 ntosk__ValidUserPte
0x804d9528 ntosk__ValidPtePte
0x804d9530 ntosk__ValidPdePde
0x804d9538 ntosk__ValidKernelPdeLocal
0x804d9540 ntosk__DemandZeroPte
0x804d9548 ntosk__TransitionPde
0x804d9550 ntosk__NoAccessPte
0x804d9724 ntosk__ObpObjectBuckets
0x804d9728 ntosk__ObpMaxStacks
0x804d972c ntosk__ObpStacksPerObject
0x804d9730 ntosk__ObpTraceDepth
0x804d984c ntosk__ObWatchHandles
0x804da288 ntosk__RtlpBitsClearAnywhere
0x804da388 ntosk__RtlpBitsClearLow
0x804da488 ntosk__RtlpBitsClearHigh
0x804da588 ntosk__RtlpBitsClearTotal
0x804da7a0 ntosk__RtlpStatusTable
0x804dafd0 ntosk__RtlpRunTable
0x804db418 ntosk__LeapYearDayToMonth
0x804db588 ntosk__NormalYearDayToMonth
0x804db6f8 ntosk__LeapYearDaysPrecedingMonth
0x804db714 ntosk__NormalYearDaysPrecedingMonth
0x804db730 ntosk__SecondsToStartOf1970
